kind,verb,count
regex_hit,disse,21
regex_hit,chiese,8
regex_hit,dice,7
regex_hit,domanda,5
regex_hit,parla,4
regex_hit,dissero,3
regex_hit,rispose,3
regex_hit,diceva,1
regex_hit,esclamò,1
regex_hit,risponde,1
nlp_hit,dire,10
nlp_hit,rispondere,5
missing_candidate,va:andare,117
missing_candidate,senare:senare,95
missing_candidate,dise:dise,74
missing_candidate,ghe:go,51
missing_candidate,dici:dici,45
missing_candidate,so:sapere,45
missing_candidate,sta:stare,36
missing_candidate,torna:tornare,34
missing_candidate,fa:fare,31
missing_candidate,ho:avere,30
missing_candidate,è:essere,25
missing_candidate,fece:fare,24
missing_candidate,giera:gierare,24
missing_candidate,vide:vedere,23
missing_candidate,visto:vedere,22
missing_candidate,vede:vedere,21
missing_candidate,hai:avere,19
missing_candidate,fare:fare,17
missing_candidate,sai:sai,17
missing_candidate,sto:stare,16
missing_candidate,avete:avere,14
missing_candidate,fatto:fare,14
missing_candidate,haju:ajuvere,14
missing_candidate,vuole:volere,14
missing_candidate,dise:didere,13
missing_candidate,dise:disa,13
missing_candidate,ha:avere,13
missing_candidate,nta:nta,13
missing_candidate,tornò:tornare,13
missing_candidate,dà:dare,12
missing_candidate,sugnu:sugnu,12
missing_candidate,volete:volere,12
missing_candidate,chiamate?</sp:chiamate?</sp,11
missing_candidate,comu:comure,11
missing_candidate,far:fare,11
missing_candidate,manda:mandare,11
missing_candidate,pensi:pensare,11
missing_candidate,venire:venire,11
missing_candidate,•:•,11
missing_candidate,andò:andare,10
missing_candidate,porti:portare,10
missing_candidate,schetta:schetta,10
missing_candidate,schiaffo:schiaffore,10
missing_candidate,vedar:vedare,10
missing_candidate,vuoi:volere,10
missing_candidate,Pinsati:pinsati,9
missing_candidate,andar:andare,9
missing_candidate,aprire:aprire,9
missing_candidate,fai:fare,9
missing_candidate,filare:filare,9
missing_candidate,penti:pentare,9
missing_candidate,vedere:vedere,9
missing_candidate,Passarono:passarono,8
missing_candidate,andare:andare,8
missing_candidate,aveva:avere,8
missing_candidate,chiamare:chiamare,8
missing_candidate,chistu:chistu,8
missing_candidate,comando:comare,8
missing_candidate,diede:dare,8
missing_candidate,fannu:fannu,8
missing_candidate,fazzu:fazzu,8
missing_candidate,filata:filare,8
missing_candidate,sapete:sapere,8
missing_candidate,sposare:sposare,8
missing_candidate,state?</sp:state?</sp,8
missing_candidate,strada?</sp:strada?</sp,8
missing_candidate,vegna:vegnare,8
missing_candidate,dar:dare,7
missing_candidate,faccio:fare,7
missing_candidate,fate:fare,7
missing_candidate,partire:partire,7
missing_candidate,pensato:pensare,7
missing_candidate,prendi:prendere,7
missing_candidate,sa:sapere,7
missing_candidate,spija:spijare,7
missing_candidate,tornare:tornare,7
missing_candidate,tornerai:tornerai,7
missing_candidate,vai:vai,7
missing_candidate,Sai:sai,6
missing_candidate,assimigghiatì:assimigghiatire,6
missing_candidate,bere:bere,6
missing_candidate,co:co,6
missing_candidate,cominciò:cominciare,6
missing_candidate,consuma:consumare,6
missing_candidate,conza</sp>-senare:conza</sp>-senare,6
missing_candidate,credere:credere,6
missing_candidate,dato:dare,6
missing_candidate,devo:devo,6
missing_candidate,dichiarò:dichiarare,6
missing_candidate,discursi:discure si,6
missing_candidate,dise:dettere,6
missing_candidate,diventerai:diventerai,6
missing_candidate,ebbe:avere,6
missing_candidate,figghiu:figghiu,6
missing_candidate,gaveva:gavere,6
missing_candidate,maritu:mariture,6
missing_candidate,pintuta:pintere,6
missing_candidate,porta:portare,6
missing_candidate,risposatevi:risposatevi,6
missing_candidate,sente:sentire,6
missing_candidate,signora?</sp>-:signora?</sp>-,6
missing_candidate,trova:trovare,6
missing_candidate,tuto:tere,6
missing_candidate,venne:venire,6
missing_candidate,>:>,5
missing_candidate,Dici:dici,5
missing_candidate,Setti:settire,5
missing_candidate,anca:ancare,5
missing_candidate,andar-:andar-,5
missing_candidate,andar</sp>-anca:andar</sp>-anca,5
missing_candidate,andata:andare,5
missing_candidate,aspetta?</sp:aspetta?</sp,5
missing_candidate,assimig-:assimig-,5
missing_candidate,assimigghia:assimigghiare,5
missing_candidate,assomigliarci:assomigliare ci,5
missing_candidate,assomigliate:assomigliare,5
missing_candidate,astu:astu,5
missing_candidate,bruto:bruto,5
missing_candidate,ciapa:ciapa,5
missing_candidate,comincia:cominciare,5
missing_candidate,conoscevo:conoscere,5
missing_candidate,da-:da-re,5
missing_candidate,digo:digere,5
missing_candidate,diseva:disere,5
missing_candidate,ecola:ecolare,5
missing_candidate,entrare:entrare,5
missing_candidate,faceva:fare,5
missing_candidate,fanno:fare,5
missing_candidate,figghia:figghiare,5
missing_candidate,fora:forare,5
missing_candidate,forsi:fore si,5
missing_candidate,friscu:friscu,5
missing_candidate,menato:menare,5
missing_candidate,mise:mettere,5
missing_candidate,morta:morire,5
missing_candidate,panada:panada,5
missing_candidate,passato:passare,5
missing_candidate,pensa?</sp:pensa?</sp,5
missing_candidate,pensò:pensare,5
missing_candidate,prego:pregare,5
missing_candidate,preparare:preparare,5
missing_candidate,puru:puru,5
missing_candidate,ragazza:ragazzare,5
missing_candidate,scendere:scendere,5
missing_candidate,teni:teno,5
missing_candidate,vado:vado,5
missing_candidate,vedrai:vedere,5
missing_candidate,vergogno:vergognare,5
missing_candidate,voglio:volere,5
missing_candidate,vossignoria:vossignoriare,5
missing_candidate,-mi:-mi,4
missing_candidate,Ballarono:ballarono,4
missing_candidate,Mè:mè,4
missing_candidate,Parturisci:parturisci,4
missing_candidate,Sta:stare,4
missing_candidate,accumenza:accumenza,4
missing_candidate,affacciava:affacciare,4
missing_candidate,andarono:andare,4
missing_candidate,andatela:andatelare,4
missing_candidate,andava:andare,4
missing_candidate,assomigliava:assomigliare,4
missing_candidate,ballare:ballare,4
missing_candidate,calarla:calare la,4
missing_candidate,chiamato:chiamare,4
missing_candidate,chiamò:chiamare,4
missing_candidate,chidda:chidda,4
missing_candidate,coglie:cogliere,4
missing_candidate,conduse:condudere,4
missing_candidate,corda:corda,4
missing_candidate,duggnu:duggnu,4
missing_candidate,era:essere,4
missing_candidate,fa:fa,4
missing_candidate,faccia:fare,4
missing_candidate,fastu:fasture,4
missing_candidate,ghiatì:ghiatire,4
missing_candidate,glielo:gli lo,4
missing_candidate,gnente:gnente,4
missing_candidate,importa:importare,4
missing_candidate,invitò:invitò,4
missing_candidate,lasciate:lasciare,4
missing_candidate,lu:lu,4
missing_candidate,orbà:orbàre,4
missing_candidate,pentita:pentire,4
missing_candidate,picciotta:picciotta,4
missing_candidate,prendeva:prendere,4
missing_candidate,prese:prendere,4
missing_candidate,preso:prendere,4
missing_candidate,ricordi:ricordare,4
missing_candidate,riuscirai.</sp:riuscirai.</sp,4
missing_candidate,sastu:sasture,4
missing_candidate,schettu:schettu,4
missing_candidate,sentì:sentì,4
missing_candidate,siti:sire,4
missing_candidate,stada:stada,4
missing_candidate,stare:stare,4
missing_candidate,studiare:studiare,4
missing_candidate,suttu:suttu,4
missing_candidate,tornarono:tornare,4
missing_candidate,trabbuccu:trabbuccu,4
missing_candidate,tute:tute,4
missing_candidate,tuti:tuto,4
missing_candidate,vestia:vestia,4
missing_candidate,vogio:vogiare,4
missing_candidate,voli:volare,4
missing_candidate,vui:vui,4
missing_candidate,vulia:vuliare,4
missing_candidate,vuliti:vulitare,4
missing_candidate,’:’,4
missing_candidate,Basta:bastare,3
missing_candidate,Catarina:catarinare,3
missing_candidate,Chiamò:chiamò,3
missing_candidate,Junci:junci,3
missing_candidate,Pa-:pa-,3
missing_candidate,Penso:pensare,3
missing_candidate,Ricordite:ricordite,3
missing_candidate,Sa</sp>-:sa</sp>-,3
missing_candidate,Sposiamoli.</sp:sposiamoli.</sp,3
missing_candidate,a</sp>-:a</sp>-,3
missing_candidate,andar:andar,3
missing_candidate,andaremo:andare,3
missing_candidate,angustiate:angustiare,3
missing_candidate,arrispunni:arrispunnare,3
missing_candidate,arrivate:arrivare,3
missing_candidate,arrivato:arrivare,3
missing_candidate,arrivò:arrivare,3
missing_candidate,avemo:aeve,3
missing_candidate,averne:avere ne,3
missing_candidate,ballarono:ballarono,3
missing_candidate,batarà:batara,3
missing_candidate,bedda:beddare,3
missing_candidate,bevuto:bere,3
missing_candidate,brontoli:brontolare,3
missing_candidate,buta:butare,3
missing_candidate,cadi:cadire,3
missing_candidate,calu:calu,3
missing_candidate,capisse:capire,3
missing_candidate,cavai:cavai,3
missing_candidate,chiusa:chiudere,3
missing_candidate,cominciava:cominciare,3
missing_candidate,comparve:comparvire,3
missing_candidate,conosco:conoscere,3
missing_candidate,conversando:conversare,3
missing_candidate,corse:corse,3
missing_candidate,corse:corso,3
missing_candidate,cunverti:cunvertare,3
missing_candidate,dar-:dar-,3
missing_candidate,dare:dare,3
missing_candidate,dasti:dastare,3
missing_candidate,devo:dovere,3
missing_candidate,dighi:digare,3
missing_candidate,dimanda:dimanda,3
missing_candidate,dimanda:dimandare,3
missing_candidate,dirmi:dire mi,3
missing_candidate,facesse:facesso,3
missing_candidate,fassesse:fassere,3
missing_candidate,fermà:fermà,3
missing_candidate,figghia:figghia,3
missing_candidate,filò:filò,3
missing_candidate,gavemo:gaeve,3
missing_candidate,giera</sp>-:giera</sp>-,3
missing_candidate,grapiticii:grapiticii,3
missing_candidate,gravita:gravito,3
missing_candidate,hè:hè,3
missing_candidate,incapricciato:incapricciare,3
missing_candidate,lasciare:lasciare,3
missing_candidate,lasciarono:lasciare,3
missing_candidate,mandare:mandare,3
missing_candidate,mando:mare,3
missing_candidate,mandò:mandare,3
missing_candidate,manu:manure,3
missing_candidate,mete:mete,3
missing_candidate,metterò:metterare,3
missing_candidate,misi:midere,3
missing_candidate,nualtri:nualtro,3
missing_candidate,orba:orbare,3
missing_candidate,orbà:orbà,3
missing_candidate,passannu:passannu,3
missing_candidate,penso:pensare,3
missing_candidate,piaceva:piacere,3
missing_candidate,piaci:piaco,3
missing_candidate,pigghiava:pigghiare,3
missing_candidate,podesto:poderre,3
missing_candidate,podeva:podere,3
missing_candidate,posso:potere,3
missing_candidate,prepara:preparare,3
missing_candidate,riceverlo:ricevere lo,3
missing_candidate,richiuso:richiuso,3
missing_candidate,rimasero:rimasero,3
missing_candidate,ripiglio:ripigliare,3
missing_candidate,risposarsi:risposare si,3
missing_candidate,ritratti:ritrattare,3
